,Review,du_lich
59,"Vào khu mua vé, chạy vòng vèo lên núi, rồi đến trạm dừng & gởi xe,sau đó có xe 26 chỗ chở xuống bãi biển,lối đi ngoằn ngèo nguy hiểm.ngồi trên xe hơi mà thót tim , đi xe hơi k dừng trên đỉnh để chụp ảnh được, đi xe máy dễ dừng hơn. xuống bãi biển thì có dịch vụ ghế trong chòi taa65p thể thì 30k,còn chòi 2 ghế ngoài bãi gần bờ biển thì 300k, khu này k cho mang đồ ăn vào.muốn lặn biển thì thêm dịch vụ tàu chở ra đảo nữa",4
60,"Mình đến Kỳ Co và đặt tour Anh Khải. Trọn gói 350k 1 người. Phải nói là anh rất nhiệt tình chu đáo. Đi cano ra bãi kỳ co chụp ảnh tắm biển rồi lại chở đi Lặn san hô về rồi ăn trưa. 2 người thôi mà lại dọn nguyên cả bàn tùm lum món mà món nào cũng ngon, ăn xong lại có trái cây tráng miệng. Cực kì thích. 🤩 Số điện thoại anh khải cho ai chưa có nơi tin cậy để đặt tour đây ạ.0918389417 Cả anh và chị đều vui tính nhiệt tình. Buổi sáng đến nhơn lý cất xe và trưa là về lại quán của anh là Thiên đường của biển.",4
61,"Hôm mình đi hơi tối trời, biển rất xanh và sạch, giá vé người lớn là 60k, có mỗi cây cầu sống ảp mà quá là đông hihi, tour mình đi 300k của nhà hàng Ngọc Linh (chưa bao gồm vé vào) bao ăn hải sản ngập mặt và lặn ngắm san hô nữa, free xe điện chở qua eo gió chơi, qua chỗ lặn khá thích, ngắm phỉ phê tới khi nào chán mới thôi, chỉ chán cái là không ai hướng dẫn gì cả, thả khách xuống ưng làm gì làm, tới giờ thì đón qua lặn san hô thôi,nói chung đáng trải nghiệm ^^",4
62,"Đây là bãi biển đẹp nhất mà tôi đã từng đi.Nước biển trong xanh,không khí trong lành,mát mẻ.Bãi cát cực đẹp,ấm áp.Ca nô đi trên biển cực kì sướng,đã luôn. 2 Chú ca nô rất tốt bụng,tư vấn rất nhiều nơi cho tôi,những thông tin đó giúp tôi hiểu được thêm về Quy Nhơn.Sau khi tắm biển KỲ Co xong thì đi ca nô về lại bên kia ăn hải sản rất ngon nhưng hơi mắc một chút.Biển Kỳ Co đẹp làm sao!
Ai muốn đi biển thì không nên bỏ qua bãi biển Kỳ Co này.",4
63,"Quá đẹp luôn

Chú lái ca nô rất thân thiện",5
64,An awesome beach. I love the view from the mountain.,4
65,"Nghe giới thiệu thiên đường biển đảo nên cũng ham hố đi, ngay đợt công ty tổ chức đi chơi luôn, hết sẩy con bà bảy. 
Trước tiên mình sẽ được cho lên cano ra biển, tour nào ở đây cũng trang bị áo phao đàng hoàng nên yên tâm rồi. Cano lướt sóng vèo vèo, chạy qua mấy chỗ vách núi, nhìn nước biển trong xanh là thấy thích rồi đó. Đi tầm 10-15 phút gì là ra tới nơi rồi, nhanh lắm. Không hổ danh thiên đường, biển trong mà sạch kinh khủng, chắc do dịch vụ du lịch cũng chưa phát triển lắm nên vẫn giữ được nét hoang sơ như vậy. Mà hình như biển đây mặn hơn chỗ khác hay sao mà ai cũng than hết, thôi miễn đẹp là được rồi. Mình đi tour nên tắm biển xong là vào lại đất liền ăn trưa, ở đây hải sản tươi mà ngon lắm nhé.",4
66,"Bãi Kỳ Co này cách TP.Quy Nhơn khoảng 25km nè... cũng đẹp lắm nha. Nước trong xanh, sạch sẽ.
vẻ đẹp của sự hoang sơ, có hang động nè
Ở đây cũng có hải sản tươi ngon lắm nhé... thử một lần trãi nghiệm các hoạt đông ở đây nha. Thả ga chụp choẹt view đẹp tha hồ check-in ""sống ảo"" nha. hihiih
Chỉ 330k bạn đã có 1 tour bao gồm cano ra đảo, áo phao, lặn ngắm san hô và bửa ăn gồm 7 món.
mù hè đi là thích nhất đấy, thử cảm giác tắm dưới nước trong xanh tận đáy biển đi, đã lắm đó...
Xung quanh đây cũng có nhiều khách sạn thuận tiện cho việc nghỉ ngơi lắm....",3
67,"Nhìn những tấm ảnh của tripnow tại Kỳ Co, làm tôi nhớ đến chuyến du lịch đầu tiên của tôi trên đất võ Bình Định, một chuyến đi đặc biệt khi phải hộ tống đứa bạn thân từ thời thập cổ lai hy về ra mắt gia đình người yêu. Không thể diễn tả bằng lời, mọi cảm xúc lúc ấy vẫn như còn nguyên vẹn. Mọi thứ đối với tôi như một sự vỡ òa của niềm vui, đó là niềm vui của những đứa trẻ được đi chơi đây đó với chúng bạn cùng trang lứa, là niềm vui của cái tình cái nghĩa mà con người nơi đây đã đối đãi với tôi. Người dân ở đây thân thiện lắm mọi người ơi, họ sẵn sàng hướng dẫn chỉ đường, giúp đỡ mà không hề câu nệ bất cứ vân đề gì khi bạn gặp khó khăn, mặc dù chúng tôi cũng chỉ là những người dân nước lã, tiện đường ghé qua. Nếu nói về cái được thì không thể nào kể hết về con người và cảnh vật nơi đây, có lẽ do vẫn đang trong quá trìnhđầu tư và phát triển, trong đó có du lịch, nên dịch vụ và các điều kiện cơ sở hạ tầng nơi đây vẫn chưa được hoàn thiện.
Song cũng chính vì điều này mà bộ sưu tập cảnh quan thiên nhiên vẫn còn giữ được vẻ đẹp hoang sơ, chân phương, mộc mạc vốn có, tương lai không biết sẽ như thế nào nhưng đối với tôi hiện tại cảnh quan du lịch của Bình Định là vô cùng hoàn hảo, hoàn hảo từ cái nhìn cho đến sự trong lành, thoáng đãng của không gian mà mẹ thiên nhiên đã ban tặng cho nơi đây.
Kỳ Co, nơi tôi từng đến là một ví dụ, nếu nói về dịch vụ thì chỉ có phương tiện đi lại, còn ăn uống hay ngủ nghỉ thì duy nhất chỉ có những cái chòi cỏn con, nhưng có lẽ chính nhờ điều này mà cái đẹp, cái sạch vẫn chưa bị vấy bẩn bởi bàn tay con người. 
Nước trong xanh, nhìn thấy tận cả đáy, nhưng có một cảnh báo nhỏ, nếu ai không thích nước mặn thì không nên ngâm mình dưới biển, bởi độ mặn ở đây theo tôi cảm nhận là mặn hơn rất nhiều so với những vùng biển khác, nhưng sẽ là bất thường nếu bạn đi biển mà lại không tắm biển đúng không? Nói chung, nếu có dịp tôi sẽ quay trở lại đây một lần nữa cùng những người bạn thân yêu của mình, còn trẻ mà cứ đi đi, chừng nào hết đi được thì mình nghỉ ngơi cũng chưa muộn. hihi!",4
68,"Đẹp mê hoặc là cụm từ đầu tiên mình nghĩ đến khi nhắc về Kỳ Co
Vừa rồi mình đã có 1 ngày khó quên ở đảo Kỳ Co, vì quá hài lòng nên mình sẽ review chi tiết để các bạn có thể tham khảo.
- Đầu tiên là về tour tuyến, để ra đảo thì cần phải đi tàu cao tốc tầm 20 đến 30'. Giá vé tàu ra đảo nằm trong giá tour mua trước rồi nên các bạn đừng lo nhé. Mình mua tour của dịch vụ biển Xuân Trung và vô cùng hài lòng nên các bạn nào chưa tìm được tour thích hợp thì có thể tham khảo dịch vụ của nhà này nha. 
- Lên tàu rồi thì các bạn có tầm 20' để tận hưởng vẻ đẹp tuyệt mỹ của thiên nhiên biển đảo nơi này, quả thật tuyệt vời, không có từ nào diễn tả. Nước biển xanh ngắt, trời trong quang đãng, gió biển mát rượi, các mỏm đá chĩa ra biển vs vô số hình thù độc đáo.
- Đến đảo thì điều đầu tiên các bạn nhận ra là màu nước chuyển sang xanh ngọc bích trong vắt, thấy rõ từng hạt cát dưới đáy, nước nông nhưng sóng mạnh nên các bạn vẫn phải chú ý. Đến đây thì đoàn sẽ di chuyển lên các khu hang hóc được trải bạt sẵn để chuẩn bị, đồ đạc để ở đấy luôn cũng được. 
- Bơi tầm 1 tiếng đến 1 tiếng rưỡi thì cả đoàn lại lên tàu di chuyển về bãi san hô rộng lớn. San hô đẹp nằm sâu dưới đáy biển, tuyệt vời, ở đây chủ tour sẽ phát cho mỗi khách 1 kính bơi để du khách có thể ngắm san hô, ai bơi được tự bơi tự ngắm, ai k bơi được đã có nhân viên hỗ trợ.  
- Xong xuôi cả đoàn về đất liền để ăn trưa, đến nơi thấy bàn đã đc setup sẵn, cô chủ đợi khách tắm tráng rồi bắt đầu dọn đồ ăn lên. Đồ ăn trưa bao no, bao ngon cũng bao gồm trong gói dịch vụ tour rồi nhé, ăn thoải mái k sợ. Các món gồm mực, tôm, cá ăn kèm bánh hỏi, ốc đá, hàu nướng mỡ hành, cháo hải sản toàn hải sản ít cháo :)) ngất ngây. Đảm bảo bên ngoài hơn 500k 
- Ăn xong mình tới chỗ mắc võng đánh 1 giấc ngắn rồi mọi người trong đoàn gọi dậy đi tham quan tiếp, tiếp là đi thăm tượng phật 2 mặt và eo gió, cái này cũng trong tour.

>> điều quan trọng nhất là giá tour rất rẻ 350k/người @@
Lưu ý là trước khi đi thì ngày hôm trước nên gọi điện book tour để chắc h khởi hành, như mình bị trễ chuyến 8h phải đi 10h nên hơi nắng. 
Đường từ Quy Nhơn đến Nhơn Lý tầm 23km",4
69,"Bãi biển ở đây thật trong, sạch và rất đẹp, nói ko ngoa chứ nó đẹp hơn Hawai ý :-P. Đặt gói đi Kỳ Co vs giá 300k/ng có cả ăn uống trên bè, lặn biển ngắm san hô. Đồ ăn tươi rói, bữa đó có ốc luộc, mực hấp, bào ngư nướng mỡ hành, cá Bóp nướng sa tế, cháo cá bóp, canh rong biển, trái cây tráng miệng. Món nào cũng ngon hết xảy, chế biến đơn giản ngay trên bè thôi mà sao ăn nó ngon thế, ngon hơn tất cả những lần khác ăn hải sản ý, chắc một phần vì đói. Ăn xong no phè phỡn, lại nhảy xuống biển ngắm san hô.đời ko còn gì thú hơn đc nữa.",4
70,"Ai đi Quy Nhơn cũng bảo mình không đi Kỳ Co thì ở Hà Nội luôn cho xong nên cũng tò mò kinh khủng mà phải đi. Đến thì cũng khá bất ngờ. Biển đẹp, nước trong và còn rất hoang sơ. Giữa bãi có 1 cái cầu tàu rất hợp lên chụp ảnh sống ảo )) bãi ở đây chia làm 2 chủ thầu. 1 nhà thầu bãi trong vách núi còn 1 nhà thầu bãi biển có lán che các thứ. Mỗi bên khách đi tàu xuồng cano sẽ xuống 1 bên riêng. Muốn có đồ ăn trưa phải đặt từ ở eo gió mới được.",4
71,"Mình sv,đi du lịch trước khi chính thức Thất nghiệp :))
-Book vé xe Phương Trang Sg-QN lúc 5 pm,đến nơi 5 am,mướn phòng và xe,ăn uống này nọ r chạy ra Kỳ Co chơi
-Lúc đầu tính là ghé Big C mua đồ ăn trưa,chỉ tốn 150k để đi ca nô ra Đảo thôi,nhưng sớm qá Big C chưa mở nên đánh liều,làm luôn suất 350k bao ăn :)).Chạy từ Big C đến Eo Gió tầm 30p,đường rất đẹp
-Vừa đến bãi giữ xe,đối diện quán ăn Hướng Dương,có chú ra thông báo giá cả này nọ,bọn mình đặt tour bao ăn,350k/ng,gồm 6 món ăn và 1 chai nc suối nhỏ
-Ngồi chờ đến 9h thì đi bộ 400m để ra đc bãi,lên cano tầm 20p thì đến đc Kỳ Co,nc rất trong xanh và không có rác :)
-Tắm táp này nọ thì dô bạt ngồi,ng ta hỏi có mún ăn chưa và tính mấy h về.Mình củng đói nên kêu dọn món lên,ăn r 12h đi ngắm san hô nửa
-Món ăn ngon và tươi cực kì,200k mà ăn như vậy mình thấy đáng ^^
+Súp rong biển tươi
+Bào ngư nướng
+Ghẹ
+Cháo hải sản
+Gỏi ốc(món này dở T.T)
+Cá tỏi nướng
-Mấy cô chú ở đây dt lắm,phục vụ lúc nào củng cười toe toét,có nhóm kia họ k đặt ăn,họ xin nc chấm thì vẫn vui vẽ cho họ,mình rất thích :)
-Ăn xong thì cano chạy về bãi,đeo kính vào và ngắm sanho nào,rất tuyệt vời :x.Gấu mình kb bơi vs nhát nên k dám xuống -_-.Mình bơi củng chỉ đc 1m là hết đát nhưng vẫn nhảy xuống,có áo phao mà,hì hì.Trẻ tuổi mà,mạnh dạn lên,k sau này sẽ hối tiếc đấy :P
-Kết thúc tour :)).Mình thích nơi đây vì khung cảnh yên bình và hoang sơ,trong trẻo,nhưng biết chắc rằng một khi nơi đây nổi tiếng,sẽ k còn nửa ^^
-Ps:Các bạn nào xài đt to to cẩn thận nhé,mình gắn con Sky 860 6in vô gậy,đem ra tính quay phim,sóng đánh 1 cái rớt tỏm xuống luôn :(.Cho ẻm đi du lịch 1 ngày r ct ẻm luôn :))",4
72,"Bãi biển tuyệt đẹp, nước xanh trong mát lạnh. Bạn có thể đi tàu ra đảo. Có 1 nhà hàng di động sẽ chế biến những món hải sản ngay tại chỗ cho bạn thưởng thức.",4
73,"Biển xanh trong veo vào dịp từ tháng 4 đến hết mùa hè, nên các bạn nên đi vào dịp này là đẹp nhất, nhớ xem dự báo thời tiết trước nhé vì đảo còn rất hoang sơ, vừa rồi minh đi biển động nên xảy ra vài việc không hay, nhưng sẽ la kỷ niệm không bao giờ quên. Khuyên các bạn đến đây nên thuê khách sạn ở Quy Nhơn vì ở đây còn hoang sơ nen KS nhỏ và Motel thôi. Dịch vụ ra biển các bạn có thể đặt tàu hoặc cano để chở ra đảo, nên mang theo đồ ăn để ăn uống hoặc đặt tại tour người ta sẽ chuẩn bị sẵn cho mình luôn. Sau khi chơi đã ở đao các bạn sẽ được dẫn qua khu ngắm san hô, cứ hơi mải mê chán rồi sẽ có người đưa các bạn về lại, vì trên đảo vẫn chưa có nước ngọt nên nếu tắm biển xong ở đảo cac bạn có thể dội sơ nước ngọt với giá 5k/ng rồi quay về đất liền tắm lai :D.
Những trip như thế này thì đi càng đông càng vui nhé.
Thanks
Pi💙",4
74,"Nghe đồn đảo thiên đường nên rủ rê bạn bè du lịch cho biết, mở mamg tầm mắt. Biển ở đây hoang sơ nên dịch vụ cũng không được nhiều nhưng bù lại nước rất sạch và trong. đẹp không thể rả nổi,nc trong vắt nhìn thấy cá bơi,có điều phải hy sinh làn da,đi về là ôi thôi,da lột như đi tắm trắng. Đi vào mùa hè thì nước trong và sóng hơn. Ngoài tắm biển và đùa vui, còn được trải nghiệm cảm giác mạo hiểm khi leo lên ghềnh đá và nhảy xuống biển. Phê dễ sợ.",4
75,"Phía trên là khu mộ Hàn Mặc Tử, đi xuống là bãi tắm Hoàng hậu và bãi trứng, mình đi hôm đó khá đông người, trời nắng gắt mà trong này gió mát hihi, không có vé vào, chỉ có vé giữ xe bên ngoài, mình giữ chỗ cô bán nước mía, vô uống nước cái cô free giữ xe luôn hihi",4
76,Mình đi ngày 26/07 thì bãi tắm Hoàng Hậu đang được trùng tu. Nghe tour guide nói là trùng tu trong vòng 3 năm :(. Không cho du khách xuống tham quan.,4
77,"Có chuyến công tác ở Quy Nhơn vài ngày được bạn dẫn đi tham quan mộ nhà thơ Hàn Mặc Tử-Dốc Mộng Cầm-Trại Phong-Bãi biển Ghềnh Ráng. Phải nói là biển quá đẹp, người dân thì vô cùng nhiệt tình, thật tà, giá cả quá ư là rẻ, đồ ăn quá ngon luôn. Lúc về không muốn về luôn, muốn làm ng dân và sinh sống ở đó luôn vậy.
Hi vọng sẽ có dịp quay lại để thưởng thức món bún rạm, tham quan Cầu Thị Nại và những địa điểm nổi tiếng của Bình Định.
"" Ai mu trăng tôi bán trăng cho
Trăng nằm im trên cành liễu đợi chờ...""",5
78,"Khi đến Bình Định thì đừng bỏ lỡ địa điểm này-Ghènh Ráng
Ở đây có bãi đá trứng lớn lắm, nước biển trong xanh, sóng vỗ đá.
Có điều là... chỉ nên chụp ảnh kỹ niệm thôi nhé, vì bãi này không cho tắm nữa...nên thoi trah thủ ghi lại nét đẹp qua từng khung ảnh nha.
Ngoài ra, chúng ta đến đây rồi, thì phải ghé thăm ngôi mộ của nhà thơ Hàn Mặc Tử, hàng dương mát mẻ cùng gió biển xào xạc còn gì phải nói... 
Ghềnh Ránh- khu du lịch lý tưởng đáng để tham quan, nghĩ dưỡng
Trời xanh gió mát qúa đẹp quá thơ mộng luôn nè.... hãy hử 1 lần đến đây nha...",4
79,"Nói chung là đừng thắc mắc sao chỉ mỗi cái lưng, do thích chụp phía sau thôi è. 
Muốn vào khu này nếu đi xe máy thì vào cửa tự do, đi oto thì mua vé nhé. Mình đi xe máy nên không xem giá bao nhiêu cả.
Ở trong này cây nhiều nên mát lắm, đi bộ không phải lo lắng ăn nắng nha.
Bãi hoàng hậu hơi ít trứng đá. Góc lại hẹp, thuỷ triều dâng nên chụp 1 tấm là túm váy chạy. Hơi bị khó, nhưng mình thích vì nó đẹp.
Mình có vào khu hàn mạc tử, khu làng nghề ý, thơ khắc trên gỗ đá được bày bán trong khu vực này. 
Mình không vào khu mộ của nhà thơ...không biết nói sao, tại mình không muốn vào thôi",4
80,"Có lẽ vì đây là nơi nhà thơ Hàn Mạc Tử yên nghỉ nên mọi thứ tạo nên nó đều mang một vẻ gì đó rất thơ. 
Cứ yên bình, êm dịu. 
...
Ps: Hình ảnh của cách đây 5 năm :3",4
81,"Đã đến nơi đây du ngoạn vài lần rồi, không gian thật thoáng mát, thích hợp để thư giãn sau một thời gian vùi đầu vào công việc. View quá đẹp luôn, chụp hình ở chỗ nào cũng thấy ưng hết ấy. Chịu khó luyện cơ chân là sẽ thấy được nhiều thiệt nhiều cảnh để lưu lại làm kỷ niệm đó mấy you. Đồ lưu niệm ở đây cũng khá đẹp và phong phú , giá cả thì bình dân như người bình định ấy. Khoái nhất là dịch vụ mua móc khóa free khắc tên nha. Mình cũng khá ham hố mấy dịch vụ như này nên cũng tậu về vài em hihi.",4
82,"cách trung tâm quy nhơn tầm 3 4 km gì đó, ở đây đông du khách tham quan vì cảnh đẹp tự nhiên hiếm có, đá ở đây hình tròn nên nhiều người gọi là bãi trứng thay cho bãi tắm hoàng hậu, thuộc khu du lịch ghềnh ráng còn có trại phong quy hòa và mộ hàn mạc tử, gần nhau nên di chuyển tham quan cũng rất tiện",4
83,"Không gian khác nhiều so vs cách đây 4 năm
Vắng vẻ, không còn được chăm sóc kĩ nữa. 
Bãi trứng k còn trứng. Khu làng nghề chỉ còn bóng dáng nhân viên bán hàng, du khách chẳng thấy ai.
Chỉ có mộ Hàn Mặc Tử vẫn thế, nhưng vì nó vốn đơn giản từ trước r.
Hic. Hơi buồn.",3
84,"Đến Qui Nhơn phải đặt chân đến mộ nhà thơ Hàn Mặc Tử và vườn thơ của Người...hết sức lãng mạng,thơ mộng. Bên cạnh đó là, bãi Trứng - Bãi tắm Hoàng Hậu rất đẹp, đứng ở đây nhìn thấy toàn cảnh biển của tp Qui Nhơn xinh đẹp. Rất thích nơi này mỗi khi có dịp trở lại, cảm giác quen thuộc vẫn như ngày nào.",4
85,"Có dịp đến với Quy Nhơn vào dịp Tết 2015 này :)) đến QN mà ko đến thăm mộ Hàn Mặc Tử là một thiếu sót, không gian xung quanh rất đẹp, nhiều cây cối, mô hình trập trùng cứ như thung lũng tình yêu trên Đà Lạt vậy á :)) Phía sau còn có bãi tắm Hoàng Hậu, gần đó là khu du lịch ghềnh ráng, cảnh quan thiên nhiên rất đẹp :3 tới mới thấy tạo hóa ban cho con người thiên nhiên quá đẹp luôn, ngoài ra nhận xét chung của mình là Quy Nhơn cũng là một thành phố rất thân thiện và đáng sống nhé :)",4
86,"Đến Quy Nhơn bằng tour thường được cho tham quan khu du lịch Ghềnh Ráng và mộ nhà thơ Hàn Mặc Tử được xây cất tại đây khá trang trọng, sau lưng mộ HMT được chạm khắc những áng thơ tình  Đường xuống bãi đá đi ngang nhà hàng Hoàng Hậu.
Xuống đến bãi đá trứng chỉ thấy mọi người chụp ảnh chứ k ai tắm, đứng từ đây ngắm nhìn sự kết hợp giữa biển trời và núi đá thật kì vĩ làm cho tâm hồn nhẹ nhàng. Có điều nhờ những bàn tay thiếu văn hóa của con người xả rác từa lưa trong mấy cái ngốc ngách làm kém vệ sinh.",3
87,"Đi eo gió chỉ thấy gió :)))) người người đông đúc, nắng và gió sấp mặt, cảnh biển đồ khá đẹp mà mình nghĩ nên đi sớm cho vắng người chụp cho đẹp nè :)",4
88,"Eo Gió gần biển Kỳ Co,lái xe một chút là tới liền.Khung cảnh rất đẹp và thơ mộng.Biển rất đẹp và xanh.Thời tiết lúc mình đi thì khá nóng(vào tháng 4)Chụp hình ở Eo Gió là một quyết định sáng suốt.Nhà mình tới đây là để chụp hình,ngắm cảnh biển,xem những người dân đang hái rong biển nhìn rất là tuyệt vời.
Tới đây là các bạn không muốn về luôn đó.Ở dưới biển cá rất nhiều cục đá to như quả trứng gà.Đường đi xuống cũng rất dễ dàng.À đúng rồi có một cái tượng đài trên đó là ống nhòm để nhìn từ xa nữa.
*Ai muốn chụp hình,check in ở đâu thì hãy tới Eo Gió là lựa chọn đúng đắng của bạn.",5
89,"Tới Qui Nhơn mà ko ghé Eo Gió là một thiếu sót lớn nhen. Bãi biển ở đây tuy ko tắm được nhưng cảnh rất đẹp và nước khá trong. Ai thích leo đá mạo hiểm thì cứ lần mò dọc theo bãi đá sẽ thấy nhìu góc đẹp lắm. Đá ở đây cũng lạ nữa, nhìu hình dáng và màu sắc khá đẹp. Sỏi thì tròn vo và đủ thứ màu, xinh lắm 😊.
Vé vào cổng tham quan là 25k/người 😐, mà thôi kệ, coi như chi phí tu dưỡng và bảo vệ cảnh quan. Ở đây họ cũng có xây các con đường, bậc thang cho du khách dễ đi và chụp hình sống ảo. Bạn trẻ nào muốn có những shot hình đẹp với biển thì đến đây nhé 😄",4
90,"↪ Lúc mình đi thì thời tiết khá thuận lợi, mặc dù hơi nóng ( vào cuối tháng 4). Tuy vậy ra tới đây là quên hết sạch mọi thứ 😅 Đúng như tên gọi ""Eo Gió"", ở đây đón gió, nên nắng cỡ nào thì gió cũng mát lồng lộng nha, nhờ vậy cũng đỡ đi phần nào cái nắng nóng :)))

↪ Cảnh quan quá đổi tuyệt vời, biển trong veo, màu nhìn từ xa cực kì, cực kì đẹp. Ở góc nào đi chăng nữa, thì view cũng đẹp hết á 😄 Chụp hình sống ảo các kiểu là mê ly luôn 😊

↪ Ra đây là không muốn về chút nào. Bãi đá ở dưới cũng thú vị lắm nè, có mấy con sò, sinh vật biển nhỏ nhỏ trôi dạt vô. Đường đi xuống cũng dễ nè, không nguy hiểm. À, ở đây còn có 1 ống nhòm trên cao, có thể quan sát được các đảo ở khu vực lân cận.

↪ Bất tiện duy nhất là nó hơi xa trung tâm tp Quy Nhơn. Lúc mình đi là bao taxi đi cả Eo Gió và Trung Lương luôn nên giá khá rẻ.",4
91,"Phải nói là kỳ quan thiên nhiên ở Việt Nam luôn ! Dù nắng banh xác bữa đó nhưng mà nghe giới thiệu cũng phát ham đi xem thử . Mà đúng thiệt , phải nói dù nắng nóng nhưng lên mình cũng quên mất cái cảm giác bức rức khó chịu , lao ra chụp lấy chụp để luôn . Cung eo biển khá dài và có thể đi xuống bãi đá , do thời gian không cho phép nên mình không xuống bãi đá kịp . Chắc mốt phải ghé lại nữa nếu có dịp tới chơi Bình Định .",4
92,"Dạo này đây là điểm du lịch đang hot ở Qy Nhơn, đi liền vs Kỳ Co. Công ty mình đi QN thì k thể bỏ qua chỗ này rồi. Đi xe khách khoảng hơn 30' là tới. Địa điểm sâu đíp là đây
Biển xanh, gió mát, nắng gắt. 
Chọn 1 góc k có người để sống ảo thì hơi khó vì khách đến đây quá nhiều",4
93,"Đợt du lịch với công ty có ghé eo gió. Gió mát biển đẹp nắng banh đầu. Ai cũng ra đây check in vài tấm ảnh. Ở đây nhìn trời nhìn biển là đẹp mướt màng luôn
Cách trung tâm tầm 30km thì phải, đường ra đây cũng dễ đi",4
94,"Đương mùa du lịch nên thời điểm mình tới thấy đông người lắm. Thật sự thì quy nhơn sẽ chẳng ghi tên vào bản đồ du lịch nếu ko có eo gió này. Cảnh đẹp tuyệt vời, đi quy nhơn mà ko tới đây thì thật lãng phí cả chuyến đi.
Mọi góc ở đây lên hình thiệt ảo diệu, lung linh phải biết. Mà gió cũng ghớm ghiếc luôn :D tới đây quên đi mái tóc mượt mà đi hì. Gió bay thổi tứ tung. Chụp hình cứ chỉnh sửa tóc riết thôi. Nhưng cảnh đẹp như này chịu khó chút cũng được",4
95,"Mình đi theo tour của công ty nên chẳng biết giá vé nhiêu, đi ngay giữa trưa luôn nên nắng khủng khiếp. Vì mình đi Kỳ Co xong ghé qua đây luôn cho biết, sát gần bên không đi thì cũng phí, dễ gì có dịp đến đây. Leo bộ qua con dốc cũng ngắn thôi là đến rồi, đúng thiệt là eo gió luôn, đến nơi gió lồng lộng. Mình cứ tưởng sẽ hùng vĩ to lớn gì lắm, thấy trên hình mn như vậy hoá ra chỉ có con đường chạy quanh cho mn chụp ảnh thôi, mà công nhận vào ảnh thì góc nào cũng lung linh hẳn lên^^",4
96,"Đã đến đây rất nhiều lần nhưng màk vẫn muốn đến tiếp.lúc tôi đến là rất ít người biết đến, bật maps dò thì chỉ sai đường chật vật cả buổi trời nhưng đến nơi không hề uổng công mình đi , lúc đo còn bật đá chưa xây lang cang , không khí ở đây mát mẻ, đồ ăn tươi ngon màk lại rẻ . sẽ gé lại nhìu lần",3
97,"Mình đi Eo Gió đợt 2016, vắng lắm, chưa đông như bây giờ đâu. Nhưng công nhận cảm giác lúc bước bên eo gió rồi phóng tầm mắt về phía biển thực sự không thể tin nổi. Nước trong, xanh, núi cao bao quanh cực đẹp. Tắm thì mình thấy hơi nguy hiểm, vì chủ yếu là đá to và trơn ý, có lần bước hụt mà hết hồn, nên chỉ gọi là mặc bikini ra tạo dáng rồi quay lại thui chứ không vùng vẫy được như ở ngoài bãi tắm đâu. Mà đứng chụp ảnh trên bờ cũng đủ đẹp rồi ý :""> Hồi đó chưa có dịch vụ gì, nên phải gửi xe ở quán nước nhỏ tít dưới rồi leo lên thôi, giờ xem ảnh thấy cả cầu thang các thứ tiện ghê.",4
98,"-Giá vé vào cửa là 22k/người
-Chọn chỗ nhà hàng Anh Bảo họ đặt xe và cano ra đảo Kỳ Co cho mình luôn, trong lúc chờ xe thì lên Eo Gió
-Tiếc là đi vẫn bị eo hẹp thời gian, chưa đi được xuống bãi biển mà chỉ trèo lên chỗ đường đi bộ ven biển thôi
-Đi sáng 7-8h cũng hơi nắng, và đang đi được một đoạn đường đi bộ thì chủ quán Anh Bảo gọi xuống có xe đi Kỳ Co rồi
Tóm lại: đẹp, chụp ảnh lung linh 😄😄",4
99,"Thiệt sự chỗ này rất tuyệt vời luôn , có nắng , có biển , đồ ăn nước uống lại ngon , đặc biệt trai Tây đông lắm , anh nào anh nấy cao ráo , đẹp trai lại dễ thương , bắt chuyện rất thân thiện . Buổi chiều ở đây mặt trời lặn , gió mát , có tiếng sóng biển , thiệt tình là phê hết chỗ chê luôn í",4
100,"[Quy Nhơn]
GHẸ XINH ĐẸP - BỮA TRƯA CUỐI Ở LAB
---
Xin phép dùng hình này để tạm say goodbye với chuỗi ngày mệch mõi mà đ' thể quên đc ở Quy Nhơn trong chiến du lệch vơi cty vừa r ' mặc dù hình là của đợt đi QN lần trc ^^
Nếu ở LAB, mà mắc bệnh lười ra ngoài như tụi mình có thể đặt luôn bếp của LAB làm, cũng k mắc hơn bên ngoài là mấy, mà tiện, mà mún ăn lúc nào là đc ăn lúc đấy. Hai đứa gọi ghẹ, mực và ngao (tất cả đều hấp) để ăn. Ai nói tụi mình nhạt nhẽo thì cứ việc hén, vì mình vốn ăn nhạt thặc, và nếu ăn ba cái thể loại hải sản ngọt thịt dư này, tốt nhất là nên ăn càng đơn giản càng dễ nhận biết đc đồ có tươi hay k, có đáng đồng tiền mình bỏ ra hay k. Bởi vậy ngoài tươi ngon và đáng tiền ra, k có còn cm từ nào khác để diễn tả cái sự ưng ý về bữa trưa này.
K nói nhiều, mời tự ăn tự thưởng thức!
#rivnfood #hreat #ghexinhdep #foodyquynhon #hrntrip",4
